,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
9033,2018-00022929,04/13/18 23:18,04/13/18 23:19,Injured/Sick Person,CBE,8600 block of  Boteler  Ln
9034,2018-00022934,04/14/18 00:33,04/14/18 00:33,Injured/Sick Person,CBE,4000 block of  Stadium  Dr
9035,2018-00023038,04/14/18 12:54,04/14/18 12:54,Injured/Sick Person,CBE,7000 block of  Preinkert  Dr
9036,2018-00023065,04/14/18 16:36,04/14/18 16:36,Assist Other Agency,CBE,4200 block of  Knox  Rd
9037,2018-00023070,04/14/18 17:21,04/14/18 17:21,Injured/Sick Person,CBE,4600 block of  Norwich  Rd
9038,2018-00023112,04/14/18 23:05,04/14/18 23:05,Injured/Sick Person,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
9039,2018-00023113,04/14/18 23:23,04/14/18 23:23,CDS Violation,Arrest,Knox  Rd
9040,2018-00023114,04/14/18 23:27,04/14/18 23:27,Trespassing,CBE,"Capital One Field at Maryland Stadium, Maryland Stadium"
9041,2018-00023124,04/15/18 01:34,04/15/18 01:34,Trespassing,CBE,"Capital One Field at Maryland Stadium, Maryland Stadium"
9042,2018-00023256,04/15/18 17:08,04/15/18 17:08,DWI/DUI,Arrest,Baltimore  Ave
9043,2018-00023272,04/13/18 20:30,04/15/18 18:22,Theft from Auto,CBE,7500 block of  Mowatt  Ln
9044,2018-00023316,04/15/18 22:53,04/15/18 22:53,Injured/Sick Person,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9045,2018-00023546,04/16/18 22:10,04/16/18 22:10,Found/Recovered Property,CBE,Baltimore  Ave
9046,2018-00023615,04/17/18 12:03,04/17/18 12:03,Injured/Sick Person,CBE,Lot UU
9047,2018-00023741,04/18/18 01:07,04/18/18 01:07,Alcohol Violation,CBE,Caroline Hall at 7154  Preinkert  Dr
9048,2018-00023821,04/14/18 21:43,04/18/18 12:58,Assist Other Agency,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300  Hartwick  Rd"
9049,2018-00023921,04/18/18 20:22,04/18/18 20:22,CDS Violation,CBE,Denton at 3854  Stadium  Dr
9050,2018-00023935,04/17/18 16:00,04/18/18 21:12,Other Incident,Investigation Pending,"Cambridge, Cambridge Hall at 4230  Farm  Dr"
9051,2018-00023956,04/18/18 23:25,04/18/18 23:25,Theft,Active/Pending,3400 block of  Tulane  Dr
9052,2018-00023968,04/19/18 00:42,04/19/18 00:42,Injured/Sick Person,CBE,"Allegany, Allegany Hall at 4299  Lehigh  Rd"
9053,2018-00024031,04/19/18 11:22,04/19/18 11:22,Injured/Sick Person,CBE,7500 block of  Baltimore  Ave
9054,2018-00024032,04/19/18 11:28,04/19/18 11:28,Telephone/EMail Misuse,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
9055,2018-00024060,04/19/18 16:09,04/19/18 16:09,Burglary,Investigation Pending,3900 block of  Denton Service  Ln
9056,2018-00024140,04/19/18 22:34,04/19/18 22:45,Accident - Departmental,CBE,Eb Route 50/ Route 197
9057,2018-00024331,04/20/18 09:15,04/20/18 14:00,Assist Other Agency,CBE,4800 block of  Harvard  Rd
9058,2018-00024332,04/20/18 00:52,04/20/18 14:09,Theft,Arrest,4200 block of  Stadium  Dr
9059,2018-00024337,04/19/18 15:00,04/20/18 14:19,Theft,Unfounded,8100 block of  Paint Branch  Dr
9060,2018-00024485,04/21/18 01:15,04/21/18 01:15,Vandalism,Arrest,Lot A
9061,2018-00024504,04/21/18 03:14,04/21/18 03:14,DWI/DUI,Arrest,7100 block of  Baltimore  Ave
9062,2018-00024523,04/21/18 06:41,04/21/18 06:41,CDS Violation,Arrest,7600 block of  Baltimore  Ave
9063,2018-00024629,04/21/18 17:10,04/21/18 17:10,Injured/Sick Person,CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300  Hartwick  Rd"
9064,2018-00024657,04/21/18 19:03,04/21/18 19:03,Check on the  Welfare,CBE,College  Ave
9065,2018-00024691,04/21/18 23:02,04/21/18 23:02,Assist Other Agency (Title IX Related),CBE,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300  Hartwick  Rd"
9066,2018-00024708,04/22/18 02:21,04/22/18 02:21,DWI/DUI,Arrest,Baltimore  Ave
9067,2018-00024711,04/22/18 03:04,04/22/18 03:04,Injured/Sick Person,CBE,"LaPlata, LaPlata Hall at 4121  Farm  Dr"
9068,2018-00024777,04/22/18 13:30,04/22/18 14:22,Theft,Arrest,7600 block of  Library  Ln
9069,2018-00024851,04/22/18 20:05,04/22/18 20:05,CDS Violation,CBE,4200 block of  Valley  Dr
9070,2018-00024889,04/23/18 02:12,04/23/18 02:12,Disorderly Conduct,Arrest,Prince Frederick at 7030  Preinkert  Dr
9071,2018-00024908,04/22/18 19:00,04/23/18 09:27,Theft,Investigation Pending,3400 block of  Tulane  Dr
9072,2018-00024924,04/22/18 19:30,04/23/18 13:31,Theft,Unfounded,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9073,2018-00024932,04/23/18 14:56,04/23/18 14:56,Injured/Sick Person,CBE,340 block of  Ehrensberger  Dr
9074,2018-00024944,04/23/18 15:30,04/23/18 16:57,Sex Offense,CBE,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999  Regents  Dr"
9075,2018-00024963,04/23/18 20:15,04/23/18 20:15,Injured/Sick Person,CBE,Lot FD
9076,2018-00024992,04/24/18 00:45,04/24/18 02:14,Assist Other Agency,CBE,4700 block of  College  Ave
9077,2018-00025020,04/24/18 07:31,04/24/18 07:33,Assault,Arrest,Paint Branch  Dr
9078,2018-00025028,04/24/18 04:40,04/24/18 08:40,Stolen Motor Vehicle,Arrest,Lot Y
9079,2018-00025086,04/13/18 21:00,04/24/18 17:35,Theft,Investigation Pending,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
9080,2018-00025192,04/25/18 01:28,04/25/18 01:28,Injured/Sick Person,CBE,7  Fraternity  Row
9081,2018-00025227,04/25/18 04:00,04/25/18 09:01,Theft,Investigation Pending,340 block of  Ehrensberger  Dr
9082,2018-00025256,04/25/18 12:37,04/25/18 12:37,Harassment/Stalking,CBE,4200 block of  Valley  Dr
9083,2018-00025257,04/25/18 12:38,04/25/18 12:38,Vandalism,Investigation Pending,8200 block of  Boteler  Ln
9084,2018-00025258,04/24/18 14:00,04/25/18 12:43,Theft,Arrest,7000 block of  Preinkert  Dr
9085,2018-00025322,04/23/18 23:00,04/25/18 17:52,Other Incident,CBE,4100 block of  Valley  Dr
9086,2018-00025410,04/26/18,04/26/18 00:54,Injured/Sick Person,CBE,340 block of  Ehrensberger  Dr
9087,2018-00025411,04/26/18 00:59,04/26/18 00:59,Trespassing,CBE,4300 block of  Rowalt  Dr
9088,2018-00025463,04/26/18 08:34,04/26/18 08:34,Injured/Sick Person,CBE,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028  Stadium  Dr"
9089,2018-00025495,04/26/18 12:00,04/26/18 12:30,Vandalism,Investigation Pending,Lot F
9090,2018-00025504,04/26/18 14:50,04/26/18 14:50,Hate Bias Incident,CBE,4300 block of  Knox  Rd
9091,2018-00025592,04/25/18 14:00,04/26/18 21:36,Assist Other Agency,CBE,Pocomoke at 7569  Baltimore  Ave
9092,2018-00025621,04/27/18 00:21,04/27/18 00:21,CDS Violation,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
9093,2018-00025667,04/27/18 05:08,04/27/18 05:08,Vandalism,Active/Pending,Easton at 3917  Denton Service  Ln
9094,2018-00025698,04/26/18 20:00,04/27/18 09:51,Theft,Investigation Pending,Centreville at 4243  Valley  Dr
9095,2018-00025718,04/27/18 12:30,04/27/18 12:35,Assault,Arrest,7600 block of  Library  Ln
9096,2018-00025731,04/27/18 13:48,04/27/18 13:48,Injured/Sick Person,CBE,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark, Clark Hall at 8278  Paint Branch  Dr"
9097,2018-00025738,04/26/18 16:00,04/27/18 14:09,Theft,Investigation Pending,"Hagerstown, Hagerstown Hall at 4000  Stadium  Dr"
9098,2018-00025854,04/28/18 00:23,04/28/18 00:23,DWI/DUI,Arrest,Baltimore  Ave
9099,2018-00025874,04/28/18 02:35,04/28/18 02:35,Vandalism,CBE,4400 block of  Lehigh  Rd
9100,2018-00025892,04/28/18 09:06,04/28/18 09:06,Trespassing,CBE,3900 block of  Campus  Dr
9101,2018-00025905,04/28/18 11:21,04/28/18 11:21,Accident,CBE,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170  Union  Ln"
9102,2018-00025907,04/28/18 12:00,04/28/18 12:10,Injured/Sick Person,CBE,Mckeldin Mall
9103,2018-00025908,04/28/18 12:01,04/28/18 12:01,Injured/Sick Person,CBE,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
9104,2018-00025922,04/28/18 13:40,04/28/18 13:43,Suspicious Activity,CBE,Lot C1
9105,2018-00025952,04/28/18 14:30,04/28/18 16:51,Assault,CBE,Mckeldin Mall
9106,2018-00025953,04/28/18 17:00,04/28/18 17:00,Injured/Sick Person,CBE,Football Practice Complex
9107,2018-00025975,04/28/18 20:17,04/28/18 20:17,CDS Violation,CBE,3800 block of  Stadium  Dr
9108,2018-00026071,04/29/18 11:50,04/29/18 12:03,Juvenile Offense,Juvenile Arrest,Knox  Rd
9109,2018-00026075,04/29/18 15:10,04/29/18 15:10,Other Incident (Title IX Related),CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
9110,2018-00026120,04/29/18 19:33,04/29/18 19:33,Assist Other Agency,CBE,8400 block of  Baltimore  Ave
9111,2018-00026139,04/29/18 22:19,04/29/18 22:19,CDS Violation,Arrest,7200 block of  Preinkert  Dr
9112,2018-00026142,04/29/18 22:35,04/29/18 22:35,Domestic (Title IX Related),CBE,"Annapolis, Annapolis Hall at 7626  Regents  Dr"
9113,2018-00026205,04/30/18 09:36,04/30/18 09:36,Threat Assessment,CBE,7300 block of  Preinkert  Dr
9114,2018-00026341,05/01/18 05:00,05/01/18 06:53,Trespassing,CBE,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
9115,2018-00026359,04/01/18 10:30,05/01/18 09:36,Harassment/Stalking,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
9116,2018-00026372,05/01/18 10:08,05/01/18 10:08,Injured/Sick Person,CBE,"Van Munching, Van Munching Hall at 7699  Mowatt  Ln"
9117,2018-00026385,04/13/18 02:00,05/01/18 12:06,Burglary,Arrest,8200 block of  Paint Branch  Dr
9118,2018-00026492,05/01/18 22:56,05/01/18 22:56,Injured/Sick Person,CBE,North Gate at 4306  Campus  Dr
9119,2018-00026560,05/02/18 09:03,05/02/18 09:03,Trespassing,Arrest,3900 block of  Campus  Dr
9120,2018-00026561,05/02/18 09:09,05/02/18 09:09,Accident,CBE,Union  Ln
9121,2018-00026573,05/02/18 11:19,05/02/18 11:19,Fraud,Investigation Pending,6900 block of  Preinkert  Dr
9122,2018-00026588,05/02/18 15:16,05/02/18 15:16,Theft,Summons Issued,7600 block of  Library  Ln
9123,2018-00026601,05/02/18 17:33,05/02/18 17:33,Other Incident,CBE,4200 block of  Lehigh  Rd
9124,2018-00026606,05/02/18 17:45,05/02/18 17:52,Trespassing,CBE,Ellicott at 4052  Stadium  Dr
9125,2018-00026639,05/02/18 20:00,05/02/18 20:41,Theft,Unfounded,7600 block of  Library  Ln
9126,2018-00026713,05/03/18 10:41,05/03/18 10:41,Emergency Petition,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9127,2018-00026714,04/23/18 08:00,05/03/18 10:48,Other Incident,Unfounded,"Prince George's, Prince George's Hall at 7527  Calvert Service  Ln"
9128,2018-00026781,05/04/18 00:43,05/04/18 00:43,Injured/Sick Person,CBE,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028  Stadium  Dr"
9129,2018-00026908,05/04/18 10:15,05/04/18 11:30,Theft,Active/Pending,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9130,2018-00026991,05/04/18 19:44,05/04/18 19:44,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9131,2018-00027029,05/04/18 20:58,05/04/18 20:58,DWI/DUI,Arrest,Baltimore  Ave
9132,2018-00027055,05/04/18 22:30,05/04/18 22:43,Injured/Sick Person,CBE,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801  Alumni  Dr"
9133,2018-00027094,05/05/18 01:02,05/05/18 01:02,CDS Violation,Arrest,Baltimore  Ave
9134,2018-00027111,05/05/18 03:28,05/05/18 03:28,Assist Other Agency,CBE,College  Ave
9135,2018-00027222,05/05/18 15:15,05/05/18 15:19,Assault,CBE,Pocomoke at 7569  Baltimore  Ave
9136,2018-00027224,05/05/18 11:50,05/05/18 16:28,Damage to State Property,Active/Pending,3100 block of  Shepherd  St
9137,2018-00027351,05/06/18 01:39,05/06/18 01:39,Injured/Sick Person,CBE,Valley  Dr
9138,2018-00027363,05/06/18 02:52,05/06/18 02:52,Injured/Sick Person,CBE,340 block of  Ehrensberger  Dr
9139,2018-00027570,05/06/18 20:30,05/06/18 21:08,Emergency Petition,CBE,8700 block of  Rhode Island  Ave
9140,2018-00027617,05/07/18 02:08,05/07/18 02:08,Injured/Sick Person,CBE,Denton at 3854  Stadium  Dr
9141,2018-00027653,05/07/18 08:30,05/07/18 08:51,Injured/Sick Person,CBE,Easton at 3917  Denton Service  Ln
9142,2018-00027696,05/03/18 11:00,05/07/18 12:03,Stolen Motor Vehicle,Arrest,Field Hockey & Lacrosse Complex at 8483  Paint Branch  Dr
9143,2018-00027754,05/03/18 14:00,05/07/18 17:09,Theft,Active/Pending,"Howard, Howard Hall at 4296  Lehigh  Rd"
9144,2018-00027765,05/07/18 17:58,05/07/18 17:58,Suspicious Person/Auto,CBE,Denton at 3854  Stadium  Dr
9145,2018-00027849,05/07/18 23:45,05/07/18 23:45,Injured/Sick Person,CBE,8500 block of  Paint Branch  Dr
9146,2018-00027947,05/08/18 11:37,05/08/18 16:33,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9147,2018-00028127,05/09/18 08:30,05/09/18 08:32,Injured/Sick Person,CBE,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
9148,2018-00028130,05/09/18 09:17,05/09/18 09:17,Vandalism,Active/Pending,Martin Hall at 4298  Campus  Dr
9149,2018-00028133,05/08/18 14:32,05/09/18 09:24,Other Service Call,CBE,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999  Regents  Dr"
9150,2018-00028209,05/02/18 13:00,05/09/18 17:29,Theft,Active/Pending,"Hagerstown, Hagerstown Hall at 4000  Stadium  Dr"
9151,2018-00028345,05/09/18 14:00,05/10/18 01:26,Stolen Motor Vehicle,Investigation Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
9152,2018-00028348,05/10/18 01:39,05/10/18 01:39,Injured/Sick Person,CBE,"LaPlata, LaPlata Hall at 4121  Farm  Dr"
9153,2018-00028355,05/10/18 02:12,05/10/18 02:12,DWI/DUI,Arrest,Campus  Dr
9154,2018-00028595,05/10/18 22:52,05/10/18 22:52,DWI/DUI,Arrest,West Gate at 3841  Stadium  Dr
9155,2018-00028598,05/09/18 14:29,05/10/18 23:29,Noise Complaint,,3400 block of  Tulane  Dr
9156,2018-00028808,05/11/18 18:04,05/11/18 18:04,Emergency Petition,CBE,Ellicott at 4052  Stadium  Dr
9157,2018-00028952,04/15/18 23:00,05/12/18 10:21,Fraud (Title IX Related),Investigation Pending,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
9158,2018-00029006,05/12/18 16:20,05/12/18 16:23,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9159,2018-00029039,05/12/18 19:22,05/12/18 19:22,Injured/Sick Person,CBE,4300 block of  Knox  Rd
9160,2018-00029046,05/12/18 10:00,05/12/18 19:13,Lost Property,CBE,Lot 9b
9161,2018-00029095,05/12/18 16:45,05/12/18 23:19,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9162,2018-00029099,05/12/18 23:39,05/12/18 23:39,Injured/Sick Person,CBE,7500 block of  Calvert Service  Ln
9163,2018-00029190,05/12/18 07:00,05/13/18 17:46,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9164,2018-00029286,05/14/18 05:03,05/14/18 05:03,Vandalism,Active/Pending,Lot K1
9165,2018-00029291,05/13/18 21:30,05/14/18 06:51,Theft from Auto,Active/Pending,Lot 17d
9166,2018-00029369,05/14/18 10:52,05/14/18 10:52,CDS Violation,Arrest,University  Blvd
9167,2018-00029378,05/06/18 16:00,05/14/18 11:16,Stolen Motor Vehicle,Warrant Issued,Lot 3
9168,2018-00029431,05/13/18 19:00,05/14/18 15:33,Stolen Motor Vehicle,Warrant Issued,"Armory, Reckord Armory at 4490  Rossborough  Ln"
9169,2018-00029432,05/14/18 15:44,05/14/18 15:44,Emergency Petition,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
9170,2018-00029434,05/14/18 16:16,05/14/18 16:16,Other Incident,CBE,"Annapolis, Annapolis Hall at 7626  Regents  Dr"
9171,2018-00029452,05/14/18 18:16,05/14/18 18:16,Title IX Incident Non Criminal,CBE,7500 block of  Calvert Service  Ln
9172,2018-00029517,05/15/18 00:07,05/15/18 00:07,CDS Violation,CBE,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
9173,2018-00029558,05/15/18 01:54,05/15/18 01:54,Stolen Motor Vehicle,Arrest,"A.V. Williams Building, AV Williams at 8223  Paint Branch  Dr"
9174,2018-00029577,05/15/18 06:36,05/15/18 06:36,Injured/Sick Person,CBE,4300 block of  Knox  Rd
9175,2018-00029672,05/15/18 12:44,05/15/18 12:44,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
9176,2018-00029673,05/15/18 12:50,05/15/18 12:50,CDS Violation,Arrest,"Leonardtown #250, Leonardtown Community Center at 7559  Yale  Ave"
9177,2018-00029684,05/15/18 13:58,05/15/18 13:58,Trespassing,CBE,Lot 1f
9178,2018-00029728,05/15/18 18:04,05/15/18 18:04,Other Incident,Active/Pending,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028  Stadium  Dr"
9179,2018-00029739,05/15/18 19:00,05/15/18 19:18,Injured/Sick Person,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9180,2018-00030037,05/16/18 14:30,05/16/18 15:07,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
9181,2018-00030275,05/08/18 12:00,05/17/18 14:55,Theft,Active/Pending,8200 block of  Boteler  Ln
9182,2018-00030276,05/10/18 20:00,05/17/18 15:03,Theft,Investigation Pending,Worcester at 7405  Preinkert  Dr
9183,2018-00030345,05/18/18 00:30,05/18/18 00:30,DWI/DUI,Arrest,Baltimore  Ave
9184,2018-00030356,05/18/18 02:55,05/18/18 02:55,Injured/Sick Person,CBE,4200 block of  Valley  Dr
9185,2018-00030460,05/18/18 15:00,05/18/18 15:00,Warrant/Summons Service,Arrest,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
9186,2018-00030478,05/18/18 14:00,05/18/18 17:54,Theft,Investigation Pending,3900 block of  Campus  Dr
9187,2018-00030636,05/17/18 22:00,05/19/18 10:36,Theft,Investigation Pending,"Cambridge, Cambridge Hall at 4230  Farm  Dr"
9188,2018-00030645,05/19/18 12:12,05/19/18 12:12,CDS Violation,Arrest,Baltimore  Ave
9189,2018-00030658,05/19/18 12:05,05/19/18 14:17,Damage to State Property,CBE,"Architecture, Architecture Building at 3835  Campus  Dr"
9190,2018-00030662,05/19/18 14:51,05/19/18 14:51,Accident - Departmental,CBE,Baltimore  Ave
9191,2018-00030696,05/19/18 19:23,05/19/18 19:23,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9192,2018-00030782,05/20/18 00:34,05/20/18 00:34,DWI/DUI,Arrest,Baltimore  Ave
9193,2018-00030805,05/20/18 02:13,05/20/18 02:13,DWI/DUI,Arrest,Campus  Dr
9194,2018-00030869,04/30/18 07:45,05/20/18 10:39,Theft,Investigation Pending,3400 block of  Tulane  Dr
9195,2018-00030914,05/20/18 13:00,05/20/18 14:03,Injured/Sick Person,CBE,8500 block of  Paint Branch  Dr
9196,2018-00030973,05/20/18 22:14,05/20/18 22:14,Injured/Sick Person,CBE,South Gate at 7567  Regents  Dr
9197,2018-00031089,05/18/18 16:00,05/21/18 09:23,Other Incident,CBE,"John S. Toll Physics Building, Physics, Physics Building at 4150  Campus  Dr"
9198,2018-00031105,05/21/18 09:52,05/21/18 09:52,Injured/Sick Person,CBE,7000 block of  Preinkert  Dr
9199,2018-00031112,05/21/18 09:45,05/21/18 10:06,Accident - Departmental,CBE,7300 block of  Baltimore  Ave
9200,2018-00031152,05/21/18 14:48,05/21/18 14:48,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
9201,2018-00031198,05/21/18 20:45,05/21/18 20:45,Other Incident,CBE,4300 block of  Knox  Rd
9202,2018-00031247,05/22/18 00:15,05/22/18 00:15,Weapon Violation,Summons Issued,Baltimore  Ave
9203,2018-00031415,05/22/18 13:59,05/22/18 13:59,Assist Other Agency,CBE,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
9204,2018-00031478,05/22/18 20:15,05/22/18 20:36,Trespassing,Arrest,3500 block of  University  Blvd
9205,2018-00031555,05/23/18 09:27,05/23/18 09:27,Other Service Call,CBE,4200 block of  Lehigh  Rd
9206,2018-00031563,05/23/18 09:40,05/23/18 10:13,Injured Officer,CBE,5500 block of  Baltimore  Ave
9207,2018-00031668,05/23/18 14:00,05/23/18 20:02,Fraud,CBE,4300 block of  Rowalt  Dr
9208,2018-00031684,05/23/18 21:29,05/23/18 21:29,DWI/DUI,Arrest,University  Blvd
9209,2018-00031739,05/24/18 01:51,05/24/18 01:51,DWI/DUI,Arrest,Baltimore  Ave
9210,2018-00031804,05/24/18 10:45,05/24/18 10:48,Accident - Departmental,CBE,Lot R3
9211,2018-00031954,05/25/18 02:18,05/25/18 02:18,DWI/DUI,Arrest,Baltimore  Ave
9212,2018-00032009,05/25/18 09:53,05/25/18 09:53,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9213,2018-00032027,05/25/18 11:37,05/25/18 11:37,Other Incident,Active/Pending,Montgomery at 7570  Regents  Dr
9214,2018-00032201,05/26/18 04:40,05/26/18 04:40,DWI/DUI,Arrest,Lot C2
9215,2018-00032251,05/25/18 14:30,05/26/18 10:52,Theft,Investigation Pending,CSPAC Grounds Storage Facility at 8315  Backstage  Ln
9216,2018-00032450,05/27/18 01:53,05/27/18 01:53,DWI/DUI,Arrest,Baltimore  Ave
9217,2018-00032464,05/27/18 02:38,05/27/18 02:38,DWI/DUI,Arrest,Baltimore  Ave
9218,2018-00032750,05/28/18 16:05,05/28/18 16:09,Assist Other Agency,CBE,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
9219,2018-00032928,02/01/18 07:00,05/29/18 11:46,Lost Property,Active/Pending,Pocomoke at 7569  Baltimore  Ave
9220,2018-00032960,05/21/18 18:00,05/29/18 14:49,Lost Property,CBE,Denton at 3854  Stadium  Dr
9221,2018-00032984,05/29/18 17:30,05/29/18 17:55,Injured/Sick Person,CBE,"Football Team House, Gossett, Gossett Football Team House at 4068  Fieldhouse  Dr"
9222,2018-00033227,05/30/18 06:30,05/30/18 08:58,Assist Other Agency,Active/Pending,Pocomoke at 7569  Baltimore  Ave
9223,2018-00033283,05/30/18 14:25,05/30/18 14:32,Injured/Sick Person,CBE,"Benjamin, Benjamin Bldg, Benjamin Building at 3942  Campus  Dr"
9224,2018-00033316,05/25/18 10:00,05/30/18 19:36,Theft,Active/Pending,4300 block of  Knox  Rd
9225,2018-00033538,05/30/18 17:30,05/31/18 10:15,Dept Property Damage/Loss,Active/Pending,Pocomoke at 7569  Baltimore  Ave
9226,2018-00033572,05/31/18 13:45,05/31/18 14:02,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9227,2018-00033578,05/31/18 14:58,05/31/18 14:58,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
9228,2018-00033581,05/31/18 15:12,05/31/18 15:13,Accident - Departmental,CBE,Dartmouth  Ave
9229,2018-00033735,05/31/18 11:00,06/01/18 08:13,Accident,CBE,Lot 11b
9230,2018-00033740,05/31/18 15:32,06/01/18 08:47,Hate Bias Incident,Arrest,"Elkins, Elkins Building, Systems Office, UM Systems Office at 3300  Metzerott  Rd"
9231,2018-00033785,06/01/18 07:00,06/01/18 17:31,Other Incident,CBE,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
9232,2018-00033897,06/02/18 02:44,06/02/18 02:44,Assist Other Agency (Title IX Related),CBE,"Terrapin Row #3, Terrapin Row 3, TR3 at 4301  Hartwick  Rd"
9233,2018-00033977,06/02/18 08:30,06/02/18 17:35,Theft,Unfounded,"Chapel, Memorial Chapel at 7744  Regents  Dr"
9234,2018-00034134,06/03/18 12:12,06/03/18 12:12,Recovered Stolen Property,Arrest,North Gate at 4306  Campus  Dr
9235,2018-00034159,06/03/18 17:05,06/03/18 17:14,Fire,CBE,Hotel  Dr
9236,2018-00034247,06/03/18 23:14,06/03/18 23:14,CDS Violation,Arrest,Baltimore  Ave
9237,2018-00034362,06/04/18 11:48,06/04/18 11:48,Injured/Sick Person,CBE,Lot 4B
9238,2018-00034377,06/04/18 14:50,06/04/18 14:58,Injured/Sick Person,CBE,"Seneca Building, UC Center, UMUC Center, University Centre at 4716  Pontiac  St"
9239,2018-00034532,06/04/18 17:00,06/05/18 09:14,Hate Bias Incident,Investigation Pending,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
9240,2018-00034701,06/06/18 05:22,06/06/18 05:22,Title IX Incident Non Criminal,CBE,4200 block of  Lehigh  Rd
9241,2018-00034798,06/03/18 02:00,06/06/18 16:50,Other Incident,CBE,4800 block of  Osage  St
9242,2018-00034832,06/06/18 20:30,06/06/18 20:47,Injured/Sick Person,CBE,8000 block of  Boteler  Ln
9243,2018-00034873,06/07/18 00:35,06/07/18 00:35,Emergency Petition,CBE,"Leonardtown #242, Leonardtown at 4646  Norwich  Rd"
9244,2018-00034948,06/04/18 09:00,06/07/18 13:06,Other Incident,Unfounded,7500 block of  Calvert Service  Ln
9245,2018-00034950,06/01/18 08:00,06/07/18 13:22,Theft,Active/Pending,4300 block of  Knox  Rd
9246,2018-00035148,06/08/18 17:38,06/08/18 17:38,Domestic (Title IX Related),CBE,7700 block of  Adelphi  Rd
9247,2018-00035149,05/20/18 18:00,06/08/18 18:01,Theft,CBE,"Bel Air, Bel Air Hall at 4213  Valley  Dr"
9248,2018-00035150,06/08/18 18:32,06/08/18 18:32,CDS Violation,Juvenile Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
9249,2018-00035161,06/08/18 21:46,06/08/18 21:46,Warrant/Summons Service,Arrest,Severn at 5245  Greenbelt  Rd
